Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (ISO3),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","21","Brazil","SUR","Suriname","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","1391","","Official data"
"TM","Detailed trade matrix","21","Brazil","SWE","Sweden","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","29","","Official data"
"TM","Detailed trade matrix","21","Brazil","CHE","Switzerland","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","3808","","Official data"
"TM","Detailed trade matrix","21","Brazil","THA","Thailand","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","923150","","Official data"
"TM","Detailed trade matrix","21","Brazil","THA","Thailand","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","1063228","","Official data"
"TM","Detailed trade matrix","21","Brazil","TTO","Trinidad and Tobago","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","1729","","Official data"
"TM","Detailed trade matrix","21","Brazil","TUN","Tunisia","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","21943","","Official data"
"TM","Detailed trade matrix","21","Brazil","TUN","Tunisia","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","16800","","Official data"
"TM","Detailed trade matrix","21","Brazil","TUR","Turkey","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","44740","","Official data"
"TM","Detailed trade matrix","21","Brazil","TUR","Turkey","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","133513","","Official data"
"TM","Detailed trade matrix","21","Brazil","ARE","United Arab Emirates","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","174070","","Official data"
"TM","Detailed trade matrix","21","Brazil","ARE","United Arab Emirates","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","26784","","Official data"
"TM","Detailed trade matrix","21","Brazil","GBR","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","179702","","Official data"
"TM","Detailed trade matrix","21","Brazil","GBR","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","33","","Official data"
"TM","Detailed trade matrix","21","Brazil","GBR","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","455309","","Official data"
"TM","Detailed trade matrix","21","Brazil","USA","United States of America","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","80","","Official data"
"TM","Detailed trade matrix","21","Brazil","USA","United States of America","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","19","","Official data"
"TM","Detailed trade matrix","21","Brazil","USA","United States of America","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","1","","Official data"
"TM","Detailed trade matrix","21","Brazil","USA","United States of America","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","324523","","Official data"
"TM","Detailed trade matrix","21","Brazil","URY","Uruguay","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","157","","Official data"
"TM","Detailed trade matrix","21","Brazil","URY","Uruguay","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","11519","","Official data"
"TM","Detailed trade matrix","21","Brazil","URY","Uruguay","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","27","","Official data"
"TM","Detailed trade matrix","21","Brazil","URY","Uruguay","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","78","","Official data"
"TM","Detailed trade matrix","21","Brazil","VEN","Venezuela (Bolivarian Republic of)","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","16684","","Official data"
"TM","Detailed trade matrix","21","Brazil","VEN","Venezuela (Bolivarian Republic of)","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","11","","Official data"
"TM","Detailed trade matrix","21","Brazil","VEN","Venezuela (Bolivarian Republic of)","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","20828","","Official data"
"TM","Detailed trade matrix","21","Brazil","VNM","Viet Nam","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","436876","","Official data"
"TM","Detailed trade matrix","21","Brazil","VNM","Viet Nam","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","5333","","Official data"
"TM","Detailed trade matrix","21","Brazil","VNM","Viet Nam","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","571112","","Official data"
