system:index,area,class,co_mun,year,.geo
0_00000000000000000344_0_0,183257.48879756097,0,5004601.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000344_0_1,23061.552149868607,39,5004601.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000348_0_0,215374.41427975072,0,5005004.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000348_0_1,4598.185412268984,39,5005004.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000349_0_0,183629.1328465959,0,5005103.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000349_0_1,9061.44236930749,39,5005103.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034c_0_0,85798.64364398309,0,5005251.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034c_0_1,87502.01976453225,39,5005251.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034d_0_0,305167.645309707,0,5005400.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034d_0_1,224409.7029005798,39,5005400.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034e_0_0,546989.5121505973,0,5005608.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034e_0_1,714.4114530822751,39,5005608.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034f_0_0,42359.95664782614,0,5005681.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000034f_0_1,4447.16894653405,39,5005681.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000352_0_0,376592.9640454761,0,5006002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000352_0_1,25163.125029642226,39,5006002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000353_0_0,471306.7854361298,0,5006200.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000353_0_1,6147.99066697086,39,5006200.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000358_0_0,356920.71148478327,0,5006408.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000358_0_1,8034.536550524753,39,5006408.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000359_0_0,365265.61082530225,0,5006606.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000359_0_1,167470.0931803509,39,5006606.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035a_0_0,1772102.6258124374,0,5006903.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035a_0_1,1206.9393959637978,39,5006903.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035b_0_0,1727421.7161294825,0,5007109.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035b_0_1,3088.3208497749747,39,5007109.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035c_0_0,301433.12264793843,0,5007208.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035c_0_1,97137.1318462729,39,5007208.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035e_0_0,807156.8319747577,0,5007406.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000035e_0_1,8067.725176831079,39,5007406.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000360_0_0,613850.3378066332,0,5007554.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000360_0_1,296.01607718505306,39,5007554.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000363_0_0,325303.31153663737,0,5007802.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000363_0_1,431.73854016113717,39,5007802.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000364_0_0,385116.45967798034,0,5007901.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000364_0_1,143360.05549938814,39,5007901.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000365_0_0,354426.49212809536,0,5007935.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000365_0_1,52872.230336141394,39,5007935.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000368_0_0,276546.1112499883,0,5008008.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000368_0_1,7798.766701184593,39,5008008.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000036c_0_0,693856.1489670752,0,5100201.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000036c_0_1,54065.83848867201,39,5100201.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000036d_0_0,896924.6693256951,0,5100250.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000036d_0_1,483.83196921997154,39,5100250.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000370_0_0,284409.38021018956,0,5100409.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000370_0_1,90258.22462896077,39,5100409.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000374_0_0,640985.2060148176,0,5101001.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000374_0_1,1742.7911576659976,39,5101001.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000376_0_0,159877.46409871863,0,5101258.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000376_0_1,69.23902531127925,39,5101258.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037a_0_0,604921.7731136599,0,5101704.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037a_0_1,797.4664803989075,39,5101704.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037b_0_0,882914.2120962103,0,5101803.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037b_0_1,24730.824211520496,39,5101803.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037c_0_0,356491.4249042556,0,5101852.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037c_0_1,70772.3121283069,39,5101852.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037d_0_0,1457887.4301443188,0,5101902.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037d_0_1,137744.45042596036,39,5101902.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037e_0_0,2425741.9072920154,0,5102504.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000037e_0_1,1490.1767239562882,39,5102504.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000381_0_0,254021.94437903783,0,5102678.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000381_0_1,224038.49140697462,39,5102678.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000383_0_0,337565.5074358752,0,5102694.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000383_0_1,7579.885388607501,39,5102694.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000385_0_0,239034.2997159938,0,5102793.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000385_0_1,173.14291777343786,39,5102793.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
