"Tabela 94 - Vacas ordenhadas"
"Variável - Vacas ordenhadas (Cabeças)"
"Nível";"Cód.";"Município";"Ano"
"MU";"2102903";"Carutapera (MA)";"1025"
"MU";"2103000";"Caxias (MA)";"1508"
"MU";"2103109";"Cedral (MA)";"27"
"MU";"2103125";"Central do Maranhão (MA)";"64"
"MU";"2103158";"Centro do Guilherme (MA)";"3809"
"MU";"2103174";"Centro Novo do Maranhão (MA)";"10787"
"MU";"2103208";"Chapadinha (MA)";"640"
"MU";"2103257";"Cidelândia (MA)";"11389"
"MU";"2103307";"Codó (MA)";"2130"
"MU";"2103406";"Coelho Neto (MA)";"416"
"MU";"2103505";"Colinas (MA)";"3844"
"MU";"2103554";"Conceição do Lago-Açu (MA)";"937"
"MU";"2103604";"Coroatá (MA)";"1620"
