"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2013"
"Nível";"Cód.";"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Suíno - matrizes de suínos";"Caprino";"Ovino";"Galináceos - total";"Galináceos - galinhas";"Codornas"
"MU";"1502400";"Castanhal (PA)";"31830";"299";"987";"1697";"100";"153";"1788";"301400";"11300";"-"
"MU";"1502509";"Chaves (PA)";"73420";"144288";"5024";"21400";"6200";"1693";"1189";"4200";"1318";"-"
"MU";"1502608";"Colares (PA)";"123";"18";"2";"13";"2";"-";"-";"186";"69";"-"
"MU";"1502707";"Conceição do Araguaia (PA)";"307069";"285";"5789";"8748";"7241";"1298";"2144";"54388";"19983";"613"
"MU";"1502756";"Concórdia do Pará (PA)";"9705";"-";"68";"3056";"338";"237";"311";"85417";"20380";"-"
"MU";"1502764";"Cumaru do Norte (PA)";"821185";"51";"3189";"2271";"1025";"386";"877";"15904";"9631";"-"
"MU";"1502772";"Curionópolis (PA)";"262000";"45";"2100";"1400";"770";"370";"650";"15600";"6240";"-"
"MU";"1502806";"Curralinho (PA)";"203";"344";"5";"4730";"1521";"54";"-";"5708";"1710";"-"
"MU";"1502855";"Curuá (PA)";"32181";"477";"2203";"762";"112";"188";"501";"10021";"1473";"-"
"MU";"1502905";"Curuçá (PA)";"1720";"-";"25";"138";"12";"-";"-";"380000";"17000";"-"
"MU";"1502939";"Dom Eliseu (PA)";"102064";"44";"1996";"2253";"930";"216";"2463";"192700";"163966";"-"
"MU";"1502954";"Eldorado do Carajás (PA)";"220000";"40";"4000";"4000";"2400";"600";"2900";"52000";"20800";"-"
"MU";"1503002";"Faro (PA)";"12149";"498";"889";"889";"230";"464";"437";"3014";"904";"-"
"MU";"1503044";"Floresta do Araguaia (PA)";"168494";"51";"3053";"4501";"1085";"101";"1144";"28734";"12688";"-"
"MU";"1503077";"Garrafão do Norte (PA)";"50325";"112";"782";"2690";"492";"528";"792";"35205";"10211";"-"
"MU";"1503093";"Goianésia do Pará (PA)";"236237";"143";"4566";"6533";"1966";"383";"2228";"21360";"7800";"-"
"MU";"1503101";"Gurupá (PA)";"23";"223";"-";"-";"-";"-";"-";"200";"123";"-"
"MU";"1503200";"Igarapé-Açu (PA)";"21345";"36";"430";"392";"63";"62";"394";"898400";"18400";"-"
"MU";"1503309";"Igarapé-Miri (PA)";"1180";"247";"53";"7700";"1500";"22";"48";"13000";"6400";"-"
"MU";"1503408";"Inhangapi (PA)";"13909";"36";"334";"155";"14";"48";"310";"4711";"720";"-"
"MU";"1503457";"Ipixuna do Pará (PA)";"85387";"1082";"1035";"2349";"647";"227";"1108";"29866";"12489";"-"
"MU";"1503507";"Irituia (PA)";"77237";"140";"2445";"1430";"32";"157";"695";"19544";"1632";"-"
"MU";"1503606";"Itaituba (PA)";"360703";"1554";"4311";"6249";"1545";"2343";"9796";"68230";"28675";"-"
"MU";"1503705";"Itupiranga (PA)";"315000";"270";"4900";"4200";"1700";"750";"2200";"56500";"22600";"-"
"MU";"1503754";"Jacareacanga (PA)";"16085";"-";"68";"3112";"710";"135";"253";"28573";"6813";"-"
"MU";"1503804";"Jacundá (PA)";"178000";"136";"5687";"4765";"1800";"473";"3170";"39079";"17800";"-"
"MU";"1503903";"Juruti (PA)";"21745";"1375";"1606";"3126";"285";"457";"527";"48884";"8100";"-"
"MU";"1504000";"Limoeiro do Ajuru (PA)";"27";"10";"-";"-";"-";"-";"-";"2800";"2800";"-"
"MU";"1504059";"Mãe do Rio (PA)";"61501";"222";"1073";"1385";"689";"81";"85";"15355";"9600";"-"
"MU";"1504109";"Magalhães Barata (PA)";"1348";"-";"42";"22";"1";"5";"-";"856";"220";"-"
"MU";"1504208";"Marabá (PA)";"705000";"2000";"5240";"3190";"1800";"1100";"3200";"49100";"19600";"-"
"MU";"1504307";"Maracanã (PA)";"3306";"11";"72";"45";"3";"50";"167";"10145";"1560";"-"
"MU";"1504406";"Marapanim (PA)";"4430";"461";"29";"314";"31";"-";"86";"56400";"1200";"-"
"MU";"1504422";"Marituba (PA)";"535";"140";"15";"143";"15";"-";"-";"395000";"24600";"-"
"MU";"1504455";"Medicilândia (PA)";"143371";"6";"1785";"2615";"138";"232";"976";"39043";"8646";"185"
"MU";"1504505";"Melgaço (PA)";"1820";"382";"20";"4160";"1460";"110";"143";"1678";"458";"-"
"MU";"1504604";"Mocajuba (PA)";"1548";"-";"42";"94";"28";"4";"17";"12000";"12000";"-"
"MU";"1504703";"Moju (PA)";"50000";"1800";"800";"12000";"2350";"330";"650";"28000";"18000";"-"
"MU";"1504752";"Mojuí dos Campos (PA)";"1188";"-";"13";"1098";"247";"-";"-";"54525";"25181";"-"
"MU";"1504802";"Monte Alegre (PA)";"214596";"5591";"7079";"13982";"3472";"447";"3071";"129369";"59420";"-"
"MU";"1504901";"Muaná (PA)";"7449";"12649";"3296";"12500";"4715";"1760";"2240";"13472";"10489";"-"
"MU";"1504950";"Nova Esperança do Piriá (PA)";"25643";"-";"504";"2137";"348";"175";"514";"32672";"8290";"-"
