"";"co_mun";"nm_mun";"co_state";"nm_state";"area_plant";"area_harv";"prod_bean";"exp_bean";"exp_bean_d";"exp_oil";"exp_oil_d";"exp_cake";"exp_cake_d";"imp_bean";"imp_bean_d";"imp_oil";"imp_oil_d";"imp_cake";"imp_cake_d";"proc_fac";"proc_cap";"ref_fac";"ref_cap";"bot_cap";"population";"cattle";"cattle_milked";"buffalo";"horse";"pig";"pig_mother";"goat";"sheep";"chicken";"chicken_layer";"quail";"storage_cap"
"76";1300060;"AMATURÁ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10436;1800;370;15;0;303;81;18;97;7000;3000;0;0
"77";1300086;"ANAMÃ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11636;630;60;0;3;148;48;0;41;3300;250;0;0
"78";1300102;"ANORI";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18351;1871;320;0;0;156;36;0;228;3896;1396;0;0
"79";1300144;"APUÍ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19860;145000;4200;390;2030;2000;500;1300;2910;26000;11000;0;0
"80";1300201;"ATALAIA DO NORTE";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17174;170;11;0;0;500;150;70;190;19000;7000;0;0
"81";1300300;"AUTAZES";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35554;46076;13600;20088;980;2400;540;2600;3450;6600;2600;0;0
"82";1300409;"BARCELOS";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27110;91;12;0;13;155;42;30;46;3500;450;0;0
"83";1300508;"BARREIRINHA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29737;46867;7550;6898;0;1780;450;656;2708;66320;32887;0;0
"84";1300607;"BENJAMIN CONSTANT";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37564;785;65;2;23;100;70;260;305;26100;10600;200;0
"85";1300631;"BERURI";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17332;1281;55;79;40;83;13;55;41;3200;1563;0;0
"86";1300680;"BOA VISTA DO RAMOS";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16820;19671;393;2184;532;1094;182;521;274;10200;4220;0;0
"87";1300706;"BOCA DO ACRE";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32792;93880;11505;24;2792;2100;500;3150;17800;18836;3800;0;0
"88";1300805;"BORBA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38073;6120;210;1830;21;580;188;403;1423;6134;3230;0;0
"89";1300839;"CAAPIRANGA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12004;2282;90;28;40;292;120;38;135;5870;3020;0;0
"90";1300904;"CANUTAMA";13;"AM";20;20;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14754;22640;314;73;34;592;160;28;15;7500;3000;0;0
"91";1301001;"CARAUARI";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27405;6570;18;4;60;480;144;35;300;5000;3000;0;0
"92";1301100;"CAREIRO";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35431;21645;1580;544;758;955;360;314;1568;7619;2300;0;0
"93";1301159;"CAREIRO DA VÁRZEA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26722;62716;19000;4160;440;402;104;322;346;4500;3180;0;0
"94";1301209;"COARI";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81325;2756;310;320;0;800;320;320;280;20000;8500;0;1458
"95";1301308;"CODAJÁS";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25696;3000;296;450;45;400;25;52;350;13000;6000;0;0
"96";1301407;"EIRUNEPÉ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33127;20714;195;220;190;3240;1200;220;1115;17145;5300;20;1913
"97";1301506;"ENVIRA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18051;14108;720;5;570;1900;600;430;800;15000;7000;0;1983
"98";1301605;"FONTE BOA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21859;2253;650;66;12;300;100;0;23;6500;3500;0;0
"99";1301654;"GUAJARÁ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15291;32900;975;120;218;1489;360;310;1815;29920;8920;0;0
"100";1301704;"HUMAITÁ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49137;20980;430;70;45;1229;580;113;1288;8823;4200;0;2362
"101";1301803;"IPIXUNA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25362;12163;1100;175;150;4250;1316;264;396;10130;1130;0;0
"102";1301852;"IRANDUBA";13;"AM";0;0;0;0;0;0;0;22107,624;10466968;0;0;0;0;0;0;0;0;0;0;0;44503;7598;908;85;43;413;180;81;402;450000;317000;0;0
"103";1301902;"ITACOATIARA";13;"AM";0;0;0;4480,76178205405;2366859,80675977;0;0;0;0;0;0;0;0;0;0;1;2000;0;0;0;94278;67818;6780;17762;967;1640;785;1210;2546;102000;76000;0;3240
"104";1301951;"ITAMARATI";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8232;1980;54;2;43;1130;530;125;118;980;618;0;0
"105";1302009;"ITAPIRANGA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8774;6000;81;340;45;200;82;150;120;1000;480;0;3635
"106";1302108;"JAPURÁ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6083;757;130;19;0;350;85;10;47;1610;650;0;1580
"107";1302207;"JURUÁ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12408;1573;32;0;5;280;60;0;18;2000;300;0;0
"108";1302306;"JUTAÍ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17376;589;62;240;25;1850;980;270;280;21000;9000;0;0
"109";1302405;"LÁBREA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41600;339482;1058;267;140;810;257;16;133;23762;20000;100;0
